DATA,DATA,ESTADO,CIDADE,CONFIRMADOS,FATAIS
2020-03-18 00:00:00,2020-03-18 00:00:00,MG,SETE LAGOAS,1,0
2020-03-18 00:00:00,2020-03-18 00:00:00,MG,UBERLÂNDIA,1,0
2020-03-18 00:00:00,2020-03-18 00:00:00,MS,CAMPO GRANDE,7,0
2020-03-18 00:00:00,2020-03-18 00:00:00,PA,BELÉM,1,0
2020-03-18 00:00:00,2020-03-18 00:00:00,PB,JOÃO PESSOA,1,0
2020-03-18 00:00:00,2020-03-18 00:00:00,PE,BELO JARDIM,1,0
2020-03-18 00:00:00,2020-03-18 00:00:00,PE,INDEFINIDA,3,0
2020-03-18 00:00:00,2020-03-18 00:00:00,PE,JABOATÃO DOS GUARARAPES,1,0
2020-03-18 00:00:00,2020-03-18 00:00:00,PE,RECIFE,14,0
2020-03-18 00:00:00,2020-03-18 00:00:00,PR,CAMPO LARGO,1,0
2020-03-18 00:00:00,2020-03-18 00:00:00,PR,CIANORTE,2,0
2020-03-18 00:00:00,2020-03-18 00:00:00,PR,CURITIBA,8,0
2020-03-18 00:00:00,2020-03-18 00:00:00,PR,FOZ DO IGUAÇU,1,0
